"Date","IBM.Return","Price..IBM","Calendar.Date"
1990.04167,0.04780877,98.625,19900131
1990.125,0.06550063,103.875,19900228
1990.20833,0.02166065,106.125,19900330
1990.29167,0.02709069,109,19900430
1990.375,0.11201835,120,19900531
1990.45833,-0.0208333,117.5,19900629
1990.54167,-0.0510638,111.5,19900731
1990.625,-0.0754709,101.875,19900831
1990.70833,0.04417178,106.375,19900928
1990.79167,-0.0094007,105.375,19901031
1990.875,0.08977462,113.625,19901130
1990.95833,-0.0055006,113,19901231
1991.04167,0.12168141,126.75,19910131
1991.125,0.02532544,128.75,19910228
1991.20833,-0.115534,113.875,19910328
1991.29167,-0.0954994,103,19910430
1991.375,0.04208738,106.125,19910531
1991.45833,-0.0848057,97.125,19910628
1991.54167,0.04247104,101.25,19910731
1991.625,-0.0312593,96.875,19910830
1991.70833,0.06967742,103.625,19910930
1991.79167,-0.0518697,98.25,19911031
1991.875,-0.0462087,92.5,19911129
1991.95833,-0.0378378,89,19911231
1992.04167,0.01123596,90,19920131
1992.125,-0.0212778,86.875,19920228
1992.20833,-0.0388489,83.5,19920331
1992.29167,0.08682635,90.75,19920430
1992.375,0.01333333,90.75,19920529
1992.45833,0.0785124,97.875,19920630
1992.54167,-0.0319285,94.75,19920731
1992.625,-0.0729815,86.625,19920831
1992.70833,-0.0678211,80.75,19920930
1992.79167,-0.1718266,66.875,19921030
1992.875,0.0386542,68.25,19921130
1992.95833,-0.2619048,50.375,19921231
1993.04167,0.02233251,51.5,19930129
1993.125,0.06631068,54.375,19930226
1993.20833,-0.0643678,50.875,19930331
1993.29167,-0.044226,48.625,19930430
1993.375,0.0959383,52.75,19930528
1993.45833,-0.063981,49.375,19930630
1993.54167,-0.0987342,44.5,19930730
1993.625,0.03370786,45.75,19930831
1993.70833,-0.0819672,42,19930930
1993.79167,0.0952381,46,19931029
1993.875,0.17663044,53.875,19931130
1993.95833,0.0487239,56.5,19931231
1994.04167,0,56.5,19940131
1994.125,-0.0597345,52.875,19940228
1994.20833,0.03309693,54.625,19940331
1994.29167,0.05263158,57.5,19940429
1994.375,0.1,63,19940531
1994.45833,-0.0674603,58.75,19940630
1994.54167,0.05319149,61.875,19940729
1994.625,0.11111111,68.5,19940831
1994.70833,0.01642336,69.625,19940930
1994.79167,0.07001796,74.5,19941031
1994.875,-0.0469799,70.75,19941130
1994.95833,0.03886926,73.5,19941230
1995.04167,-0.0187075,72.125,19950131
1995.125,0.04679376,75.25,19950228
1995.20833,0.09136213,82.125,19950331
1995.29167,0.152207,94.625,19950428
