"Date","Microsoft.Return","Price..Microsoft","Calendar.Date"
1990.04167,0.06321839,92.5,19900131
1990.125,0.06756756,98.75,19900228
1990.20833,0.12151898,110.75,19900330
1990.29167,0.04740406,58,19900430
1990.375,0.25862068,73,19900531
1990.45833,0.04109589,76,19900629
1990.54167,-0.125,66.5,19900731
1990.625,-0.075188,61.5,19900831
1990.70833,0.02439024,63,19900928
1990.79167,0.01190476,63.75,19901031
1990.875,0.13333334,72.25,19901130
1990.95833,0.04152249,75.25,19901231
1991.04167,0.3039867,98.125,19910131
1991.125,0.05732484,103.75,19910228
1991.20833,0.02289157,106.125,19910328
1991.29167,-0.0671378,99,19910430
1991.375,0.10858586,109.75,19910531
1991.45833,-0.0689066,68.125,19910628
1991.54167,0.07889909,73.5,19910731
1991.625,0.15986395,85.25,19910830
1991.70833,0.04398827,89,19910930
1991.79167,0.05477528,93.875,19911031
1991.875,0.03595207,97.25,19911129
1991.95833,0.14395887,111.25,19911231
1992.04167,0.08089887,120.25,19920131
1992.125,0.02702703,123.5,19920228
1992.20833,-0.0404858,118.5,19920331
1992.29167,-0.0696203,110.25,19920430
1992.375,0.09750567,121,19920529
1992.45833,-0.1322314,70,19920630
1992.54167,0.03928572,72.75,19920731
1992.625,0.02405498,74.5,19920831
1992.70833,0.08053691,80.5,19920930
1992.79167,0.10248447,88.75,19921030
1992.875,0.04929578,93.125,19921130
1992.95833,-0.0832215,85.375,19921231
1993.04167,0.01317716,86.5,19930129
1993.125,-0.0361272,83.375,19930226
1993.20833,0.10944527,92.5,19930331
1993.29167,-0.0756757,85.5,19930430
1993.375,0.08333334,92.625,19930528
1993.45833,-0.0499325,88,19930630
1993.54167,-0.1590909,74,19930730
1993.625,0.0152027,75.125,19930831
1993.70833,0.09816971,82.5,19930930
1993.79167,-0.0287879,80.125,19931029
1993.875,-0.0015601,80,19931130
1993.95833,0.0078125,80.625,19931231
1994.04167,0.05581395,85.125,19940131
1994.125,-0.030837,82.5,19940228
1994.20833,0.02727273,84.75,19940331
1994.29167,0.09144543,92.5,19940429
1994.375,0.16216215,53.75,19940531
1994.45833,-0.0395349,51.625,19940630
1994.54167,-0.0024213,51.5,19940729
1994.625,0.12864077,58.125,19940831
1994.70833,-0.0344086,56.125,19940930
1994.79167,0.12249443,63,19941031
1994.875,-0.0019841,62.875,19941130
1994.95833,-0.027833,61.125,19941230
1995.04167,-0.0286299,59.375,19950131
1995.125,0.06105263,63,19950228
1995.20833,0.12896825,71.125,19950331
1995.29167,0.14938489,81.75,19950428
1995.375,0.03593272,84.6875,19950531
1995.45833,0.06715867,90.375,19950630
1995.54167,0.00138313,90.5,19950731
1995.625,0.02209945,92.5,19950831
1995.70833,-0.0216216,90.5,19950929
1995.79167,0.10497238,100,19951031
1995.875,-0.12875,87.125,19951130
1995.95833,0.0071736,87.75,19951229
1996.04167,0.05413105,92.5,19960131
1996.125,0.06689189,98.6875,19960229
1996.20833,0.04496517,103.125,19960329
1996.29167,0.09818182,113.25,19960430
1996.375,0.04856512,118.75,19960531
1996.45833,0.01157895,120.125,19960628
1996.54167,-0.0187305,117.875,19960731
1996.625,0.03923648,122.5,19960830
1996.70833,0.07653061,131.875,19960930
1996.79167,0.04075829,137.25,19961031
1996.875,0.14298725,156.875,19961129
1996.95833,0.05338645,82.625,19961231
1997.04167,0.2344932,102,19970131
1997.125,-0.0441176,97.5,19970228
1997.20833,-0.0596154,91.6875,19970331
1997.29167,0.32515338,121.5,19970430
1997.375,0.02057613,124,19970530
1997.45833,0.01915323,126.375,19970630
1997.54167,0.11968348,141.5,19970731
1997.625,-0.0658127,132.1875,19970829
1997.70833,0.00094563,132.3125,19970930
1997.79167,-0.0174776,130,19971031
1997.875,0.08846154,141.5,19971128
1997.95833,-0.0865724,129.25,19971231
1998.04167,0.15425532,149.1875,19980130
1998.125,0.13615417,84.75,19980227
1998.20833,0.0560472,89.5,19980331
1998.29167,0.00698324,90.125,19980430
1998.375,-0.0589459,84.8125,19980529
1998.45833,0.27781871,108.375,19980630
1998.54167,0.01441753,109.9375,19980731
1998.625,-0.1273451,95.9375,19980831
1998.70833,0.14723127,110.0625,19980930
1998.79167,-0.0380466,105.875,19981030
1998.875,0.15230225,122,19981130
1998.95833,0.13678278,138.6875,19981231
1999.04167,0.26182964,175,19990129
1999.125,-0.1421429,150.125,19990226
1999.20833,0.194005,89.625,19990331
1999.29167,-0.0927476,81.3125,19990430
1999.375,-0.0076864,80.6875,19990528
1999.45833,0.11773819,90.1875,19990630
1999.54167,-0.04851,85.8125,19990730
1999.625,0.07865987,92.5625,19990831
1999.70833,-0.021607,90.5625,19990930
1999.79167,0.0220842,92.5625,19991029
1999.875,-0.0163741,91.046875,19991130
1999.95833,0.28230649,116.75,19991231
2000.04167,-0.1616702,97.875,20000131
2000.125,-0.0868455,89.375,20000229
2000.20833,0.18881118,106.25,20000331
2000.29167,-0.3435294,69.75,20000428
2000.375,-0.1030466,62.5625,20000531
2000.45833,0.27872127,80,20000630
2000.54167,-0.1273437,69.8125,20000731
2000.625,0,69.8125,20000831
2000.70833,-0.1360788,60.3125,20000929
2000.79167,0.14196891,68.875,20001031
2000.875,-0.1669692,57.375,20001130
2000.95833,-0.2440087,43.375,20001229
2001.04167,0.407781,61.0625,20010131
2001.125,-0.033777,59,20010228
2001.20833,-0.073093,54.6875,20010330
2001.29167,0.238857,67.75,20010430
2001.375,0.021107,69.18,20010531
2001.45833,0.055218,73,20010629
2001.54167,-0.093288,66.19,20010731
2001.625,-0.138087,57.05,20010831
2001.70833,-0.103068,51.17,20010928
2001.79167,0.136408,58.15,20011031
2001.875,0.104213,64.21,20011130
2001.95833,0.031771,66.25,20011231
2002.04167,-0.03834,63.71,20020131
2002.125,-0.084288,58.34,20020228
2002.20833,0.033768,60.31,20020328
2002.29167,-0.133477,52.26,20020430
2002.375,-0.025832,50.91,20020531
2002.45833,0.074445,54.7,20020628
2002.54167,-0.122852,47.98,20020731
2002.625,0.022926,49.08,20020830
2002.70833,-0.108802,43.74,20020930
2002.79167,0.222451,53.47,20021031
2002.875,0.078736,57.68,20021129
2002.95833,-0.103675,51.7,20021231
2003.04167,-0.082012,47.46,20030131
2003.125,0.002107,23.7,20030228
2003.20833,0.021519,24.21,20030331
2003.29167,0.055762,25.56,20030430
2003.375,-0.037167,24.61,20030530
2003.45833,0.041853,25.64,20030630
2003.54167,0.030031,26.41,20030731
2003.625,0.004165,26.52,20030829
2003.70833,0.048265,27.8,20030930
2003.79167,-0.053957,26.14,20031031
2003.875,-0.01645,25.71,20031128
2003.95833,0.064566,27.37,20031231
2004.04167,0.01023,27.65,20040130
2004.125,-0.040506,26.53,20040227
2004.20833,-0.060309,24.93,20040331
2004.29167,0.048135,26.13,20040430
2004.375,0.003827,26.23,20040528
2004.45833,0.08883,28.56,20040630
2004.54167,-0.002451,28.49,20040730
2004.625,-0.038961,27.3,20040831
2004.70833,0.012821,27.65,20040930
2004.79167,0.011573,27.97,20041029
2004.875,0.068645,26.81,20041130
2004.95833,-0.003357,26.72,20041231
2005.04167,-0.016467,26.28,20050131
2005.125,-0.039574,25.16,20050228
2005.20833,-0.039348,24.17,20050331
2005.29167,0.046752,25.3,20050429
2005.375,0.022925,25.8,20050531
2005.45833,-0.037209,24.84,20050630
2005.54167,0.030998,25.61,20050729
2005.625,0.072237,27.38,20050831
2005.70833,-0.060263,25.73,20050930
2005.79167,-0.001166,25.7,20051031
2005.875,0.080156,27.68,20051130
2005.95833,-0.055275,26.15,20051230
2006.04167,0.076482,28.15,20060131
2006.125,-0.042273,26.87,20060228
2006.20833,0.012653,27.21,20060331
2006.29167,-0.112459,24.15,20060428
2006.375,-0.058385,22.65,20060531
2006.45833,0.028698,23.3,20060630
2006.54167,0.032618,24.06,20060731
2006.625,0.071904,25.7,20060831
2006.70833,0.064202,27.35,20060929
2006.79167,0.049726,28.71,20061031
2006.875,0.026123,29.36,20061130
2006.95833,0.01703,29.86,20061229
2007.04167,0.03349,30.86,20070131
2007.125,-0.083927,28.17,20070228
2007.20833,-0.01065,27.87,20070331
2007.29167,0.074273,29.94,20070428
