Date,Day,WOM,Month,Year,Holidays,Promotions,"Actual 
Call Volume  ","Forecast 
Call Volume (using original System",,,,,
1-Jan-14,Wednesday,1,Jan,2014,New Year's Day,"25% Off,FS on $49",373,,,,,,
2-Jan-14,Thursday,1,Jan,2014,Next Day of the-New Year's Day,No Email Drop,497,,,,,,
3-Jan-14,Friday,1,Jan,2014,,No Email Drop,467,,,,,,
4-Jan-14,Saturday,1,Jan,2014,,No Email Drop,430,,,,,,
5-Jan-14,Sunday,1,Jan,2014,,"25% Off,FS on $49",523,,,,,,
6-Jan-14,Monday,1,Jan,2014,,No Email Drop,617,,,,,,                                                                             (using original system)  (using new system)
7-Jan-14,Tuesday,1,Jan,2014,,No Email Drop,461,,,,,,
8-Jan-14,Wednesday,2,Jan,2014,,"25% Off,FS on $49",569,,,,,,
9-Jan-14,Thursday,2,Jan,2014,,No Email Drop,447,,,,,,
10-Jan-14,Friday,2,Jan,2014,,"$30 Off,FS on $100",622,,,,,,
11-Jan-14,Saturday,2,Jan,2014,,"$30 Off,FS on $100",772,,,,,,
12-Jan-14,Sunday,2,Jan,2014,,"$30 Off,FS on $100",1326,,,,,,
13-Jan-14,Monday,2,Jan,2014,,No Email Drop,476,,,,,,
14-Jan-14,Tuesday,2,Jan,2014,,"$15 Off,FS on $49",459,,,,,,
15-Jan-14,Wednesday,3,Jan,2014,,No Email Drop,362,,,,,,
16-Jan-14,Thursday,3,Jan,2014,,"$15 Off,FS on $49",411,,,,,,
17-Jan-14,Friday,3,Jan,2014,,No Email Drop,372,,,,,,
18-Jan-14,Saturday,3,Jan,2014,,No Email Drop,358,,,,,,
19-Jan-14,Sunday,3,Jan,2014,Previous Day of the-Martin Luther King Jr. Day,"20% Off,FS on $49",341,,,,,,
20-Jan-14,Monday,3,Jan,2014,Martin Luther King Jr. Day,No Email Drop,431,,,,,,
21-Jan-14,Tuesday,3,Jan,2014,Next Day of the-Martin Luther King Jr. Day,"20% Off,FS on $49",458,,,,,,
22-Jan-14,Wednesday,4,Jan,2014,,No Email Drop,424,,,,,,
23-Jan-14,Thursday,4,Jan,2014,,"20% Off,FS on $49",502,,,,,,
24-Jan-14,Friday,4,Jan,2014,,No Email Drop,411,,,,,,
25-Jan-14,Saturday,4,Jan,2014,,"20% Off,FS on $49",415,,,,,,
26-Jan-14,Sunday,4,Jan,2014,,"Reveal Your Deal Promo,$10, $20, $30 Off,FS on $49",639,,,,,,
27-Jan-14,Monday,4,Jan,2014,,No Email Drop,392,,,,,,
28-Jan-14,Tuesday,4,Jan,2014,,"Flash Sale,30% Off,FS on $49",1253,,,,,,
29-Jan-14,Wednesday,5,Jan,2014,,"Flash Sale,30% Off,FS on $49",963,,,,,,
30-Jan-14,Thursday,5,Jan,2014,,No Email Drop,312,,,,,,
31-Jan-14,Friday,5,Jan,2014,,Free Ship No Min,552,,,,,,
1-Feb-14,Saturday,1,Feb,2014,,No Email Drop,307,,,,,,
2-Feb-14,Sunday,1,Feb,2014,,"Groundhog Day,20% Off,FS on $49",438,,,,,,
3-Feb-14,Monday,1,Feb,2014,,"20% Off,FS on $49",622,,,,,,
4-Feb-14,Tuesday,1,Feb,2014,,No Email Drop,510,,,,,,
5-Feb-14,Wednesday,1,Feb,2014,,"20% Off,FS on $49",747,,,,,,
6-Feb-14,Thursday,1,Feb,2014,,"Treat Thursday,FS on $49",440,,,,,,
7-Feb-14,Friday,1,Feb,2014,,No Email Drop,316,,,,,,
8-Feb-14,Saturday,2,Feb,2014,,"$10 Off,FS on $49",439,,,,,,
9-Feb-14,Sunday,2,Feb,2014,,"Double Points,FS on $49",413,,,,,,
10-Feb-14,Monday,2,Feb,2014,,No Email Drop,443,,,,,,
11-Feb-14,Tuesday,2,Feb,2014,,"Double Points,FS on $49",424,,,,,,
12-Feb-14,Wednesday,2,Feb,2014,,No Email Drop,360,,,,,,
13-Feb-14,Thursday,2,Feb,2014,,"Double Points,FS on $49",353,,,,,,
14-Feb-14,Friday,2,Feb,2014,,"Valentine's Day,25% Off on Supplies,FS on $49",474,,,,,,
15-Feb-14,Saturday,3,Feb,2014,,"Valentine's Day,25% Off on Supplies,FS on $49",568,,,,,,
16-Feb-14,Sunday,3,Feb,2014,Previous Day of the-President's Day,No Email Drop,413,,,,,,
17-Feb-14,Monday,3,Feb,2014,President's Day,"President's Day,20% Off,FS on $49",593,,,,,,
18-Feb-14,Tuesday,3,Feb,2014,Next Day of the-President's Day,No Email Drop,417,,,,,,
19-Feb-14,Wednesday,3,Feb,2014,,"President's Day,20% Off,FS on $49",609,,,,,,
20-Feb-14,Thursday,3,Feb,2014,,"Treat Thursday,FS on $49",448,,,,,,
21-Feb-14,Friday,3,Feb,2014,,No Email Drop,370,,,,,,
22-Feb-14,Saturday,4,Feb,2014,,"RD Event,20% Off on Food,FS on $49",403,,,,,,
23-Feb-14,Sunday,4,Feb,2014,,"Free Ship No Min,20% Off",746,,,,,,
